Common Name,Scientific Name,Plant Type,Light Requirements,Water Needs,Height Min (ft),Height Max (ft),Height Range Group(s),Spread Min (ft),Spread Max (ft),Standardized Ecoregions,Description,Countries,Season of Interest,Duration
Large Flower Tickseed,Coreopsis grandiflora,"Flower, Container Friendly",Full Sun,"Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"8.3 - SE USA Plains, 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.6 - Tamaulipas-Texas Semi-Arid Plains",This show stopping flower is 2-3 inches across and when deadheaded provides a long blooming season. Deer resistant and relatively disease and pest-free.,United States,Late Spring through Late Summer,Perennial
Lanceleaf Coreopsis,Coreopsis lanceolata,"Flower, Container Friendly",Full Sun,Low,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","Relatively free of pests and naturally resistant to deer, this attractive yellow flower draws a wide array of native pollinators. In the right conditions, this plant grows quickly and can self-seed.",United States,Late Spring through Mid Summer,Perennial
Prairie Coreopsis,Coreopsis palmata,"Flower, Container Friendly",Full Sun,"Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"8.2 - Central USA Plains, 9.2 - Temperate Prairies",This bright yellow flower attracts birds and butterflies and is ignored by deer. It is drought-resistant and tolerates poor soil.,United States,Late Spring through Mid Summer,Perennial
Purple Prairie Clover,Dalea purpurea,"Flower, Container Friendly",Full Sun,"Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies","This showy flower blooms for 4-6 weeks during the summer, after which birds feed on the seeds. This plant is deer and pest-resistant, and self-seeds under the right conditions.",United States,Summer   ,Perennial
Cutleaf Daisy,Erigeron compositus,"Flower, Groundcover, Container Friendly","Full Sun, Partial Sun",Low,1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"6.2 - Western Cordillera, 10.1 - Cold Deserts","Drought-tolerant with lush foliage, this plant keeps its leaves through dry periods. The showy yellow booms appear from spring to the first frost.",United States,Spring through Fall,Perennial
Grass-Leaved Goldenrod,Euthamia graminifolia,"Flower, Container Friendly",Full Sun,"Low, Average",3,6,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 9.2 - Temperate Prairies",This bushy plant has dense yellow flowers that support a wide variety of insect species and songbirds. This species has no serious pests or diseases. ,United States,Summer through Fall,Perennial
Blanketflower or Firewheel,Gaillardia pulchella,"Flower, Container Friendly",Full Sun,Low,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"8.3 - SE USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.6 - Tamaulipas-Texas Semi-Arid Plains",This showy flower has a striking red center up to 2 inches across and abundant nectar. This easy-to-grow plant has no serious pests or diseases and readily self-seeds.,United States,Spring through Fall,Short-Lived Perennial
Great Valley Gumplant,Grindelia camporum,"Flower, Shrub, Container Friendly",Full Sun,Low,2,6,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,11.1 - Mediterranean California,This late-season flower provides nectar and pollen to many pollinators from its yellow flowers. It is drought-tolerant and is naturally resistant to deer and pests.,United States,Late Spring through Fall,Perennial
Autumnale Sneezeweed,Helenium autumnale,"Flower, Container Friendly",Full Sun,"Average, High",3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.2 - Temperate Prairies","This showy perennial provides a pop of color in the late summer to fall season. It is tolerant of many soil and water conditions but performs best in wet, well-draining soil.",United States,Mid-Late Summer through Fall,Perennial
Bigelow's Sneezeweed,Helenium bigelovii,"Flower, Container Friendly",Full Sun,"Average, High",2,3,"2–3 ft, 3–4 ft",N/A,N/A,11.1 - Mediterranean California,"Showy yellow flowers with a dark brown-purple center that love wet, bog-like conditions. This plant is also deer and disease-resistant.",United States,Mid-Late Summer,Perennial
Swamp Sunflower,Helianthus angustifolius,"Flower, Container Friendly","Full Sun, Partial Sun","Average, High",5,8,"5–7 ft, 7–10 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","This late-blooming sunflower is an important resource of food in the fall. This species is deer-resistant, should be grown with support, and is branching when pruned in early summer.",United States,Fall,Perennial
Common Sunflower,Helianthus annuus,"Flower, Container Friendly",Full Sun,"Low, Average",3,10,"3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft, 10–15 ft",N/A,N/A,"8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 11.1 - Mediterranean California","These tall and showy flowers are easy and fun to grow, and the seeds are great for birds. Put only one plant in each pot and provide support as the plant grows. Noxious in TX, MN, and IW.",United States,Mid-Late Summer,Annual
Woodland Sunflower,Helianthus divaricatus,"Flower, Container Friendly",Partial Sun,Low,2,6,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This sunflower produces a profusion of 2-inch-across yellow flowers that are attractive to many species. This plant is deer-resistant, relatively pest and disease-free, and can be divided every few years. ",United States,Summer through Fall,Perennial
Ashy Sunflower,Helianthus mollis,"Flower, Container Friendly",Full Sun,"Low, Average",2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies","The smaller alternative to the Giant Sunflower, this plant produces 4-inch-wide flowers while only reaching a maximum height of 2-4 feet. The seeds provide food for birds in the late fall.",United States,Summer through Fall,Perennial
Nuttall's Sunflower,Helianthus nuttallii,"Flower, Container Friendly",Full Sun,"Average, High",3,8,"3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft",N/A,N/A,"9.2 - Temperate Prairies, 10.1 - Cold Deserts, 11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont",This late-season flowering plant is an important source of nectar for migrating Monarch Butterflies in the fall and other pollinators. The seeds attract many birds and are favored by goldfinches.,United States,Fall,Perennial
Hairy False Goldenaster,Heterotheca villosa,"Flower, Groundcover, Container Friendly",Full Sun,Low,0.67,3,"< 1 ft, 1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"6.2 - Western Cordillera, 9.3 - West-Central Semi-Arid Prairies, 10.1 - Cold Deserts, 13.1 - Upper Gila Mountains",This plant blooms 3-4 months starting in late spring. The bright yellow flowers produce a sage-like aroma and attract butterflies. It is drought-tolerant and can thrive in poor soil as long as it is well-draining. ,United States,Late Spring through Fall,Perennial
Tahoka Daisy ,Machaeranthera tanacetifolia,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",0.5,2,"< 1 ft, 1–2 ft, 2–3 ft",N/A,N/A,"10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This species has striking purple flowers and fern-like foliage. It has no serious pests or diseases, and is particularly attractive to butterflies.",United States,Late Summer through Fall,Annual
Common Evening Primrose,Oenothera biennis,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A," 5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.2 - Temperate Prairies","This fragrant flower produces a profusion of yellow flowers that open in the evening and close in the morning. This species blooms in its second year, and the whole plant is edible.","United States, Canada",Summer through Fall,Perennial
Lacy Phacelia or Fiddleneck,Phacelia tanacetifolia,"Flower, Container Friendly",Full Sun,Low,1,4,"1–2 ft, 2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,11.1 - Mediterranean California,"This unique flower is a favorite of bees and can bloom for 5 months. This species is deer-resistant, relatively pest and disease-free, and self-seeds. The stem bristles can be mildly irritating. ",United States,Late Spring through Fall,Annual
Mexican Hat Plant,Ratibida columnifera,"Flower, Container Friendly",Full Sun,Low,1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies, 9.5 - Texas-Lousiana Coastal Plains, 9.6 - Tamaulipas-Texas Semi-Arid Plains, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains",This long-blooming plant offers consistent pollen as well as seeds for birds well into the fall. It is relatively disease and pest-free.,United States,Late Spring through Fall,Perennial
Orange Coneflower,Rudbeckia fulgida,"Flower, Container Friendly","Full Sun, Partial Sun",Average,2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This bright flower blooms profusely in full sun but can tolerate some shade. It is low maintenance, highly disease-tolerant, deer-resistant, and attractive to butterflies.",United States,Mid Summer through Fall,Perennial
Black-Eyed Susan,Rudbeckia hirta,"Flower, Container Friendly",Full Sun,"Low, Average",2,3,"2–3 ft, 3–4 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada),  8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.2 - Temperate Prairies, 15.4 - Everglades","This short-lived perennial, with 3-inch blooms, self-seeds and can tolerate a wide range of growing conditions. It has no serious pests or diseases and is deer-resistant.","United States, Canada",Summer through Fall,Short-Lived Perennial
Cutleaf Coneflower,Rudbeckia laciniata,"Flower, Container Friendly","Full Sun, Partial Sun","Average, High",3,9,"3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 9.2 - Temperate Prairies, 13.1 - Upper Gila Mountains","This 3-4 inch flower grows will in a large pot with support, and its attractive seedheads extend the season of interest into the winter. It has no serious pests or diseases and is deer-resistant.",United States,Mid Summer through Fall,Perennial
Brown-Eyed Susan,Rudbeckia triloba,"Flower, Container Friendly",Full Sun,Average,3,4,"3–4 ft, 4–5 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains",This low-maintenance plant is disease and deer-resistant. Flowers are long lasting and are excellent cut flowers. Deadheading can be used to promote longer blooming and reduce self-seeding.,United States,Mid-Late Summer through Fall,Perennial
White Goldenrod,Solidago bicolor,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This plant is attractive to pollinators and birds while being resistant to deer. Once established, this plant is drought-tolerant. Deadheading should be used to avoid self-seeding.",United States,Mid-Late Summer through Fall,Perennial
Wreath Goldenrod,Solidago caesia,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains",This plant bears a profusion of flowers in late summer that are highly attractive to a variety of species. This less-aggressive goldenrod is deer-resistant with no serious pests or diseases.,United States,Late Summer through Fall,Perennial
Old Field Goldenrod,Solidago nemoralis,"Flower, Container Friendly",Full Sun,"Low, Average",1,2,"1–2 ft, 2–3 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies","This plant is a less-aggressive, shorter alternative to tall goldenrod. Its showy, yellow flowers are attractive to birds and pollinators and provides a splash of color to late season. It can tolerate poor, dry soil. ",United States,Summer through Fall,Perennial
Wrinkleleaf Goldenrod,Solidago rugosa,"Flower, Container Friendly",Full Sun,"Average, High",3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests",This compact goldenrod has arching sprays of bright yellow flowers that support over 100 species of insects. This species is deer-resistant with no serious pests or diseases.,United States,Late Summer through Fall,Perennial
Stiff Goldenrod,Solidago rigida,"Flower, Container Friendly",Full Sun,"Low, Average",3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies","A beautiful late-season bloom that produces thick clusters of yellow flowers. It is attractive to pollinators and seed birds. It is deer-resistant and thrives in poor, dry soil.",United States,Late Summer through Fall,Perennial
Desert or Globe Mallow,Sphaeralcea ambigua,"Flower, Container Friendly",Full Sun,Low,2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"9.3 - West-Central Semi-Arid Prairies, 10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont","This bushy plant has striking flowers that are typically orange, but other varieties are available. Disease and drought-resistant. Cut back the plant after it flowers to get more blooms.",United States,Spring through Fall,Perennial
Blue Wood Aster,Symphyotrichum cordifolium,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",2,5,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This densely flowering plant is a stunning late-season choice, providing nectar to butterflies and visual interest. This species is generally pest-free and deer-resistant.",United States,Late Summer through Fall,Perennial
White Heath Aster,Symphyotrichum ericoides,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies, 13.1 - Upper Gila Mountains",This densely-blooming and compact plant resembles a spreading Juniper shrub when not in bloom. This low maintenance species does not have any serious pests or diseases.,United States,Late Summer through Fall,Perennial
Smoother Aster,Symphyotrichum laeve,"Flower, Container Friendly",Full Sun,"Low, Average",2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies",These small and densely-blooming blooming flowers are a striking blue to purple color with a golden-yellow center. This species has no serious pests or diseases.,United States,Late Summer through Fall,Perennial
Calico Aster,Symphyotrichum lateriflorum,"Flower, Container Friendly","Full Sun, Partial Sun",Average,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests",This plant produces unique white flowers with berry-like centers late summer through fall. It is a great source of nectar to butterflies and bees. Susceptible to powdery mildew.,United States,Late Summer through Fall,Perennial
New England Aster,Symphyotrichum novae-angliae,"Flower, Container Friendly","Full Sun, Partial Sun",Average,4,6,"4–5 ft, 5–7 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies",This easy-to-grow plant produces daisy-like flowers with a yellow or red center that attracts pollinators. Do not worry if flowers close at night or in cloudy weather; they will perk up once the sun returns. Resistant to deer and rabbits.,United States,Late Summer through Fall,Perennial
Aromatic Aster,Symphyotrichum oblongifolium,"Flower, Container Friendly",Full Sun,"Low, Average",1,2,"1–2 ft, 2–3 ft",N/A,N/A,"8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies","Colorful and aromatic, this plant produces many blue-purple flower, and the foliage emits a pleasant scent when crushed. It attracts birds and butterflies while being unattractive to deer and rabbits.",United States,Late Summer through Fall,Perennial
Prairie Ironweed,Vernonia fasciculata,"Flower, Container Friendly",Full Sun,"Average, High",2,6,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,9.2 - Temperate Prairies,"This flower adds a pop of purple color and will rebloom with deadheading. Although it sometimes may need support, this species is deer-resistant and is typically unaffected by serious diseases or pests.",United States,Mid Summer through Fall,Perennial
Silvery Lupine,Lupinus argenteus,"Flower, Container Friendly",Full Sun,Low,1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"6.2 - Western Cordillera, 10.1 - Cold Deserts, 13.1 - Upper Gila Mountains, 12.1 - Western Sierra Madre Piedmont",This species has stunning silvery-green leaves with spikes of blue to violet flowers. They are particularly attractive to hummingbirds and butterflies. Plant in a deep pot due to long roots.,United States,Summer,Perennial
Coast Phacelia,Phacelia californica,"Flower, Container Friendly","Full Sun, Partial Sun",Low,0.5,2,"< 1 ft, 1–2 ft, 2–3 ft",N/A,N/A,7.1 - Marine West Coast Forests (Lower 48),This unique purple flower is a valuable food source for the endangered Mission blue butterfly as well as many other beneficial insects. The flowers persist even in periods of drought.,United States,Spring through Summer,Perennial
Western Coneflower,Rudbeckia occidentalis,"Flower, Container Friendly",Full Sun,Average,3,4,"3–4 ft, 4–5 ft",N/A,N/A,"6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Lower 48), 10.1 - Cold Deserts","This unique flower has a large central cone with abundant pollen and nectar. Deadheading promotes further blooms, and this species is deer-resistant with no serious pests or diseases.",United States,Summer through Fall,Perennial
Pacific Aster,Symphyotrichum chilense,"Flower, Container Friendly","Full Sun, Partial Sun",Low,1,4,"1–2 ft, 2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"7.1 - Marine West Coast Forests (Lower 48), 11.1 - Mediterranean California",This species boasts a profusion of star-shaped flowers that provide a late-season food source for a variety of pollinators. Cut back in early spring to encourage bushiness. No serious pests or diseases and deer-resistant. ,United States,Mid Summer through Fall,Perennial
Fleabane Daisy,Erigeron speciosus ,"Flower, Container Friendly",Full Sun,Average,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"6.2 - Western Cordillera, 10.1 - Cold Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains",This long-blooming and virtually disease-free flower provides resources to pollinators for months. Cut it back to encourage more flowers and growth.,United States,Summer through Fall,Perennial
Tickseed,Coreopsis tinctoria,"Flower, Container Friendly",Full Sun,Low,2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"9.4 - South Central Semi-Arid Prairies,  9.5 - Texas-Lousiana Coastal Plains, 9.6 - Tamaulipas-Texas Semi-Arid Plains","This playful prairie species is a favorite of butterflies with striking flowers up to 2 inches across. It is easy-to-grow, can self-seed, is ignored by deer, and is relatively pest and disease-free.",United States,Summer through Fall,Annual
Purple Mountain Saxifrage,Saxifraga oppositifolia,"Flower, Groundcover, Container Friendly",Partial Sun,"Low, Average",0.08,0.17,< 1 ft,N/A,N/A,"2.2 - Alaska Tundra, 2.3 - Brooks Range Tundra, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 6.1 - Boreal Cordillera, 6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Alaska),","A beautiful, low-growing perennial that, when flowering, produces fuchsia flowers with orange anthers. The foliage is evergreen and forms a mat of dark green leaves, making it perfect for pots and containers.",United States,"Spring, Summer, Fall, Winter",Perennial
White Yarrow,Achillea millefolium,"Flower, Groundcover, Container Friendly","Full Sun, Partial Sun",Low,2,3,"2–3 ft, 3–4 ft",N/A,N/A,"2.2 - Alaska Tundra, 2.3 - Brooks Range Tundra, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.1 - Boreal Cordillera, 6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Alaska), 7.1 Marine West Coast (48), 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 11.1 - Mediterranean California, 10.1 - Cold Deserts, 10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This pleasantly aromatic plant produces flat clusters of white flowers that butterflies love! Cutting back can promote re-flowering. It is deer and rabbit-resistant, but is toxic to dogs, cats and horses when ingested.","United States, Canada",Summer,Perennial
Fireweed,Chamaenerion angustifolium,"Flower, Container Friendly","Full Sun, Partial Sun",Average,2,5,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"2.2 - Alaska Tundra, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 2.3 - Brooks Range Tundra, 5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.1 - Boreal Cordillera, 6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Alaska), 7.1 - Marine West Coast Forests (Lower 48),  8.1 - Mixed Wood Plains (USA), 10.1 - Cold Deserts, 13.1 - Upper Gila Mountains",A stunning plant with vibrant purple-pink flowers that attracts pollinators. Virtually pest and disease-free. Spent flowerheads should be trimmed to prevent seeding.,"United States, Canada",Summer,Perennial
Shrubby Cinquefoil,Dasiphora fruticosa,"Flower, Shrub, Container Friendly","Full Sun, Partial Sun",Average,2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"2.2 - Alaska Tundra, 6.1 - Boreal Cordillera, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 2.3 - Brooks Range Tundra, 5.2 - Mixed Wood Shield, 7.1 - Marine West Coast Forests (Alaska), 8.1 - Mixed Wood Plains (USA), 6.2 - Western Cordillera, 10.1 - Cold Deserts, 13.1 - Upper Gila Mountains","This compact, long-blooming shrub produces masses of bright yellow flowers. It’s pest-free, deer-resistant, and adaptable to a wide range of well-draining soils. Trim old stems to encourage fresh growth.","United States, Canada",Spring through Fall,Perennial 
Coastal Wallflower,Erysimum capitatum,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",1,2,"1–2 ft, 2–3 ft",N/A,N/A,"2.2 - Alaska Tundra, 6.1 - Boreal Cordillera, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 2.3 - Brooks Range Tundra, 7.1 - Marine West Coast Forests (Alaska), 7.1 - Marine West Coast Forests (Lower 48), 6.2 - Western Cordillera, 11.1 - Mediterranean California, 10.2 - Warm Deserts, 10.1 - Cold Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This perennial produces yellow-orange flowers that are attractive to pollinators. Once established, Coastal Wallflower is drought tolerant.","United States, Canada",Late Spring through Early-Mid Summer,"Annual, Perennial"
Alpine Forget-Me-Not,Myosotis asiatica,"Flower, Container Friendly",Full Sun,Average,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"2.2 - Alaska Tundra, 6.1 - Boreal Cordillera, 3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 2.3 - Brooks Range Tundra, 7.1 - Marine West Coast Forests (Alaska)","Compact and easy-to-care for, this compact, showy perennial blooms each summer with clusters of small blue flowers. It is resistant to most pests.",United States,Summer,Perennial
Canadian Columbine,Aquilegia canadensis,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",2,3,"2–3 ft, 3–4 ft",N/A,N/A,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","These beautiful red flowers are perfect for attracting hummingbirds and butterflies. They do best in well draining soil, and are ignored by deer and rabbits.","United States, Canada",Late Spring through Early Summer,Perennial
First Snow Heath Aster,Symphyotrichum ericoides,"Flower, Container Friendly",Full Sun,"Low, Average",1,2,"1–2 ft, 2–3 ft",N/A,N/A,"8.1 - Mixed Wood Plains (USA), 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies, 13.1 - Upper Gila Mountains","This beautiful, low-lying plant produces a spray of small white flowers and loves to drape over the sides of containers. It is low-maintenance and resistant to mildew and many pests.","United States, Canada",Late Summer through Fall,Perennial
Crooked Aster,Symphyotrichum prenanthoides,"Flower, Container Friendly","Full Sun, Partial Sun",Average,1,4,"1–2 ft, 2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,5.3 - Atlantic Highlands,"This perennial produces many small lavender flowers in late summer through the fall, attracting many pollinators. The foliage is also a food source to native caterpillars.",United States,Late Summer through Fall,Perennial
Aromatic Aster,Symphyotrichum oblongifolium,"Flower, Container Friendly",Full Sun,"Low, Average",1,2,"1–2 ft, 2–3 ft",N/A,N/A,"9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies","Colorful and aromatic, this plant produces many blue-purple flower, and the foliage emits a pleasant scent when crushed. It attracts birds and butterflies while being unattractive to deer and rabbits.",United States,Late Summer through Fall,Perennial
Smooth Aster,Symphyotrichum laeve,"Flower, Container Friendly",Full Sun,"Low, Average",2,4,"2–3 ft, 3–4 ft, 4–5 ft",N/A,N/A,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies",These small and densely-blooming blooming flowers are a striking blue to purple color with a golden-yellow center. This species has no serious pests or diseases.,"United States, Canada",Late Summer through Fall,Perennial
Ten-Petaled Sunflower,Helianthus decapetalus,"Flower, Container Friendly",Partial Sun,Average,3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains","A smaller alternative to the giant sunflower, this plant is attractive to many pollinators and the seeds are enjoyed by animals in the fall. Trimming in the spring can promote a bushier plant with fuller bloom.","United States, Canada",Late Summer through Fall,Perennial
Woodland Sunflower,Helianthus strumosus,"Flower, Container Friendly","Full Sun, Partial Sun",Low,3,5,"3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,"5.3 - Atlantic Highlands, 5.2 - Mixed Wood Shield, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains",This flower is perfect for adding some late season color. Its bright yellow blooms produce seeds in the fall that are popular with many seed-eating birds.,"United States, Canada",Mid-Late Summer through Fall,Perennial
